iter,diceA,diceVT,diceV
41,0.058561600744724274,0.2647417485713959,0.1047063022851944
81,0.08935593068599701,0.4583055377006531,0.2576271593570709
121,0.1712152510881424,0.5289356708526611,0.40217775106430054
161,0.23619110882282257,0.5505770444869995,0.45630955696105957
201,0.2744252681732178,0.55173659324646,0.43728628754615784
241,0.28298917412757874,0.5859092473983765,0.47725677490234375
281,0.29731979966163635,0.589756190776825,0.47985273599624634
321,0.30171385407447815,0.594476044178009,0.48731598258018494
361,0.3391222059726715,0.6118801236152649,0.482703298330307
401,0.3441713750362396,0.6167603731155396,0.49936047196388245
441,0.37406474351882935,0.6212013959884644,0.5116342306137085
481,0.3871586322784424,0.6304633021354675,0.5397546291351318
521,0.4152888357639313,0.6479958295822144,0.5782407522201538
561,0.3863447606563568,0.6262673735618591,0.5810161828994751
601,0.41235002875328064,0.6295843720436096,0.5784491300582886
641,0.41291362047195435,0.6330597996711731,0.5933099985122681
681,0.4703940451145172,0.675923228263855,0.6495293974876404
721,0.44570937752723694,0.6388397812843323,0.5957765579223633
761,0.4646624028682709,0.665549635887146,0.6381696462631226
801,0.4647985100746155,0.6545823812484741,0.6234166026115417
841,0.4788999557495117,0.660805881023407,0.6347085237503052
881,0.4847818911075592,0.666746973991394,0.6384173631668091
921,0.4977729916572571,0.6783519983291626,0.6525598764419556
961,0.4748498797416687,0.658021092414856,0.6337525248527527
1001,0.4758700430393219,0.6517797708511353,0.6308056712150574
1041,0.4918002188205719,0.6714604496955872,0.660927414894104
1081,0.5109218955039978,0.6925262808799744,0.6827607154846191
1121,0.5196711421012878,0.6834677457809448,0.6816546320915222
1161,0.49653735756874084,0.6821316480636597,0.6773555874824524
1201,0.5183625221252441,0.679198145866394,0.6579055786132812
1241,0.5420785546302795,0.6895548105239868,0.6823407411575317
1281,0.5309255719184875,0.6791691780090332,0.6733335852622986
1321,0.5331211686134338,0.6852132081985474,0.6697530746459961
1361,0.5378499031066895,0.6938208937644958,0.7020358443260193
1401,0.5469493269920349,0.7032276391983032,0.7014518976211548
1441,0.5282644033432007,0.677523672580719,0.6679194569587708
1481,0.5389333963394165,0.673821747303009,0.6626670956611633
1521,0.5460284352302551,0.6882729530334473,0.6940904855728149
1561,0.5258838534355164,0.6929534673690796,0.6848106384277344
1601,0.5582340359687805,0.6986615061759949,0.698474109172821
1641,0.5443145632743835,0.6909066438674927,0.6929000020027161
1681,0.5296217203140259,0.683607280254364,0.6736151576042175
1721,0.5173867344856262,0.6808738112449646,0.6714828610420227
1761,0.5530714392662048,0.7036585807800293,0.7058435678482056
1801,0.5298652648925781,0.6873464584350586,0.7016027569770813
1841,0.58478844165802,0.714034378528595,0.7165389060974121
1881,0.5303372144699097,0.6820758581161499,0.6981998682022095
1921,0.536698043346405,0.6779654026031494,0.6765934228897095
1961,0.5839594006538391,0.6967079639434814,0.7033901214599609
2001,0.5575170516967773,0.6958447098731995,0.6986736059188843
2041,0.5614722371101379,0.7002874612808228,0.6931818127632141
2081,0.5854949355125427,0.6962482929229736,0.7018366456031799
2121,0.5768200159072876,0.7103117108345032,0.7214116454124451
2161,0.5962688326835632,0.7150136232376099,0.7201284766197205
2201,0.5864832401275635,0.7092308402061462,0.7195871472358704
2241,0.5578432083129883,0.6802650690078735,0.697625458240509
2281,0.594612181186676,0.7051987648010254,0.713451087474823
2321,0.5896898508071899,0.7089643478393555,0.713174045085907
2361,0.560130774974823,0.6895973682403564,0.6892508268356323
2401,0.5668344497680664,0.6982461810112,0.6905285120010376
2441,0.5958394408226013,0.7141286730766296,0.7222364544868469
2481,0.5848939418792725,0.7046751976013184,0.7021113634109497
2521,0.6066386103630066,0.7180831432342529,0.7331238389015198
2561,0.6044486165046692,0.7142017483711243,0.7274406552314758
2601,0.5735241174697876,0.699689507484436,0.7022399306297302
2641,0.5552362203598022,0.6950193643569946,0.6887425184249878
2681,0.5618540644645691,0.6978809833526611,0.7043836712837219
2721,0.5952568054199219,0.7115327715873718,0.7154098153114319
2761,0.6097906827926636,0.721229076385498,0.7334186434745789
2801,0.5939151644706726,0.7044887542724609,0.7154298424720764
2841,0.5955885052680969,0.7155360579490662,0.7252911329269409
2881,0.5582013726234436,0.6881700158119202,0.6788140535354614
2921,0.5786607265472412,0.7066552042961121,0.7152801752090454
2961,0.5910752415657043,0.7191917300224304,0.731071949005127
3001,0.575486421585083,0.7091211080551147,0.6926213502883911
3041,0.5602512955665588,0.6990178823471069,0.6741257309913635
3081,0.5527559518814087,0.6982981562614441,0.7023941278457642
