iter,diceA,diceVT,diceV
41,0.5853231549263,0.6593273282051086,0.6777054071426392
81,0.5813983678817749,0.6697171330451965,0.6978806257247925
121,0.5875887274742126,0.6665529012680054,0.6870570182800293
161,0.590598464012146,0.668362021446228,0.6839975118637085
201,0.5860778093338013,0.6659837961196899,0.6867544054985046
241,0.5866218209266663,0.663112223148346,0.6800130605697632
281,0.5831502676010132,0.660790741443634,0.6771243214607239
321,0.5832304954528809,0.6613389849662781,0.6813524961471558
361,0.5718774199485779,0.659453272819519,0.6825072169303894
401,0.593023955821991,0.6637786626815796,0.679320216178894
441,0.5869126319885254,0.6663498282432556,0.6849414110183716
481,0.5687992572784424,0.6582111716270447,0.6855161190032959
521,0.5878415107727051,0.6650620698928833,0.6877603530883789
561,0.5893665552139282,0.6675038933753967,0.6870832443237305
601,0.5900943279266357,0.6633774638175964,0.6861437559127808
641,0.5844739079475403,0.6648129224777222,0.6879988312721252
681,0.5817460417747498,0.6595306396484375,0.6793085336685181
721,0.5849361419677734,0.6708425283432007,0.6990765929222107
761,0.5919824838638306,0.6673539280891418,0.6874183416366577
801,0.5799541473388672,0.6562970876693726,0.6712028384208679
